"text","intent"
"Сейчас засыпание снова сорвалось из-за перегруза в голове, что сделать, чтобы отпустило.","insomnia_now"
"не получается провалиться в сон, потому что после позднего кофе. что сделать, чтобы отпустило.","insomnia_now"
"опять не спится, после позднего кофе. Очень нужен совет.","insomnia_now"
"все еще не сплю — после позднего кофе, и это выматывает. как перестать крутить мысли?","insomnia_now"
"не могу уснуть. Кажется, это из-за тревоги. есть быстрый способ помочь себе.","insomnia_now"
"засыпание снова сорвалось. Кажется, это после позднего кофе. что сделать, чтобы отпустило.","insomnia_now"
"не получается провалиться в сон, потому что после ссоры. как быстрее успокоиться.","insomnia_now"
"никак не засыпаю, потому что после позднего кофе. как перестать крутить мысли.","insomnia_now"
"не получается провалиться в сон; после позднего кофе, поэтому не отключаюсь. как перестать крутить мысли.","insomnia_now"
"опять не спится — из-за тревоги, и это выматывает. как перестать крутить мысли?","insomnia_now"
"никак не засыпаю, потому что мыслей о работе. как мягко переключиться на сон.","insomnia_now"
"сон как будто завис — после напряженного дня, и это выматывает. как мягко переключиться на сон?","insomnia_now"
"никак не засыпаю, из-за внутреннего напряжения. Очень нужен совет.","insomnia_now"
"Сейчас никак не засыпаю после напряженного дня, дай короткий совет.","insomnia_now"
"Сейчас не могу уснуть после напряженного дня, как перестать крутить мысли.","insomnia_now"
"опять не спится — без явной причины, и это выматывает. как перестать крутить мысли?","insomnia_now"
"сон не идет из-за перегруза в голове, дай короткий совет.","insomnia_now"
"не могу уснуть, из-за мыслей о работе. Очень нужен совет.","insomnia_now"
"Уже долго все еще не сплю; похоже, это после позднего кофе. что можно сделать прямо сейчас?","insomnia_now"
"все еще не сплю; перед важной встречей, поэтому не отключаюсь. как вернуть сон.","insomnia_now"
"Сейчас не получается провалиться в сон перед важной встречей, как мягко переключиться на сон.","insomnia_now"
"не могу уснуть; после ссоры, поэтому не отключаюсь. как перестать крутить мысли.","insomnia_now"
"Опять не могу отключить голову из-за внутреннего напряжения, помоги, пожалуйста.","insomnia_now"
"сон не идет. Кажется, это из-за перегруза в голове. что можно сделать прямо сейчас.","insomnia_now"
"Сейчас сон не идет без явной причины, что можно сделать прямо сейчас.","insomnia_now"
"сон не идет; после напряженного дня, поэтому не отключаюсь. как перестать крутить мысли.","insomnia_now"
"никак не засыпаю — из-за перегруза в голове, и это выматывает. что можно сделать прямо сейчас?","insomnia_now"
"не могу отключить голову из-за перегруза в голове. как перестать крутить мысли?","insomnia_now"
"не могу отключить голову, потому что тревоги. как вернуть сон.","insomnia_now"
"Опять засыпание снова сорвалось из-за тревоги, помоги, пожалуйста.","insomnia_now"
"сон как будто завис из-за перегруза в голове. что можно сделать прямо сейчас?","insomnia_now"
"Уже долго сон как будто завис; похоже, это после ссоры. как вернуть сон?","insomnia_now"
"Опять сон как будто завис из-за перегруза в голове, помоги, пожалуйста.","insomnia_now"
"Опять все еще не сплю из-за перегруза в голове, помоги, пожалуйста.","insomnia_now"
"все еще не сплю, после долгого скролла в телефоне. Очень нужен совет.","insomnia_now"
"никак не засыпаю — из-за внутреннего напряжения, и это выматывает. как перестать крутить мысли?","insomnia_now"
"никак не засыпаю после позднего кофе. как мягко переключиться на сон?","insomnia_now"
"Сейчас все еще не сплю перед важной встречей, как быстрее успокоиться.","insomnia_now"
"Сейчас не получается провалиться в сон после напряженного дня, есть быстрый способ помочь себе.","insomnia_now"
"сон как будто завис, после позднего кофе. Очень нужен совет.","insomnia_now"
"Сейчас сон как будто завис после напряженного дня, как вернуть сон.","insomnia_now"
"лежу и не засыпаю — из-за перегруза в голове, и это выматывает. как мягко переключиться на сон?","insomnia_now"
"лежу и не засыпаю — после позднего кофе, и это выматывает. что сделать, чтобы отпустило?","insomnia_now"
"никак не засыпаю — после ссоры, и это выматывает. что можно сделать прямо сейчас?","insomnia_now"
"не могу отключить голову после долгого скролла в телефоне, как перестать крутить мысли.","insomnia_now"
"Опять лежу и не засыпаю после ссоры, помоги, пожалуйста.","insomnia_now"
"никак не засыпаю из-за мыслей о работе. как вернуть сон?","insomnia_now"
"никак не засыпаю перед важной встречей, есть быстрый способ помочь себе.","insomnia_now"
"сон не идет, перед важной встречей. Очень нужен совет.","insomnia_now"
"Опять засыпание снова сорвалось из-за внутреннего напряжения, помоги, пожалуйста.","insomnia_now"
"не могу отключить голову — без явной причины, и это выматывает. как перестать крутить мысли?","insomnia_now"
"Сейчас никак не засыпаю перед важной встречей, что можно сделать прямо сейчас.","insomnia_now"
"лежу и не засыпаю из-за мыслей о работе, есть быстрый способ помочь себе.","insomnia_now"
"никак не засыпаю; перед важной встречей, поэтому не отключаюсь. как быстрее успокоиться.","insomnia_now"
"все еще не сплю из-за мыслей о работе. есть быстрый способ помочь себе?","insomnia_now"
"Опять сон как будто завис из-за тревоги, помоги, пожалуйста.","insomnia_now"
"лежу и не засыпаю перед важной встречей, дай короткий совет.","insomnia_now"
"Сейчас не могу отключить голову после позднего кофе, как быстрее успокоиться.","insomnia_now"
"засыпание снова сорвалось, потому что тревоги. дай короткий совет.","insomnia_now"
"Уже долго засыпание снова сорвалось; похоже, это перед важной встречей. как вернуть сон?","insomnia_now"
"Уже долго сон как будто завис; похоже, это из-за перегруза в голове. дай короткий совет?","insomnia_now"
"не получается провалиться в сон из-за тревоги, есть быстрый способ помочь себе.","insomnia_now"
"Опять не могу уснуть из-за тревоги, помоги, пожалуйста.","insomnia_now"
"сон как будто завис после позднего кофе. как перестать крутить мысли?","insomnia_now"
"Опять лежу и не засыпаю после долгого скролла в телефоне, помоги, пожалуйста.","insomnia_now"
"засыпание снова сорвалось — после позднего кофе, и это выматывает. как вернуть сон?","insomnia_now"
"все еще не сплю — после напряженного дня, и это выматывает. как мягко переключиться на сон?","insomnia_now"
"не могу уснуть после напряженного дня. что можно сделать прямо сейчас?","insomnia_now"
"засыпание снова сорвалось из-за внутреннего напряжения, дай короткий совет.","insomnia_now"
"никак не засыпаю; из-за внутреннего напряжения, поэтому не отключаюсь. есть быстрый способ помочь себе.","insomnia_now"
"сегодня спал 6 часов","sleep_duration_report"
"вчера получилось около 7 часов сна","sleep_duration_report"
"этой ночью было примерно 5 с половиной часов","sleep_duration_report"
"поспал примерно 8 часов","sleep_duration_report"
"у меня вышло 4.5 часа сна","sleep_duration_report"
"за ночь набралось 6 часов 20 минут","sleep_duration_report"
"в сумме получилось 7 часов 10 минут сна","sleep_duration_report"
"сегодня только 5 часов сна","sleep_duration_report"
"сегодня получилось около 1 с половиной часа сна","sleep_duration_report"
"сегодня получилось около 2 часа сна","sleep_duration_report"
"сегодня получилось около 2 с половиной часа сна","sleep_duration_report"
"сегодня получилось около 3 часа сна","sleep_duration_report"
"сегодня получилось около 3 с половиной часа сна","sleep_duration_report"
"сегодня получилось около 4 часа сна","sleep_duration_report"
"сегодня получилось около 4.25 часа сна","sleep_duration_report"
"сегодня получилось около 4 с половиной часа сна","sleep_duration_report"
"сегодня получилось около 4.75 часа сна","sleep_duration_report"
"сегодня получилось около 5 часов сна","sleep_duration_report"
"сегодня получилось около 5.25 часа сна","sleep_duration_report"
"сегодня получилось около 5 с половиной часа сна","sleep_duration_report"
"сегодня получилось около 5.75 часа сна","sleep_duration_report"
"сегодня получилось около 6 часов сна","sleep_duration_report"
"сегодня получилось около 6.25 часа сна","sleep_duration_report"
"сегодня получилось около 6 с половиной часа сна","sleep_duration_report"
"сегодня получилось около 6.75 часа сна","sleep_duration_report"
"сегодня получилось около 7 часов сна","sleep_duration_report"
"сегодня получилось около 7.25 часа сна","sleep_duration_report"
"сегодня получилось около 7 с половиной часа сна","sleep_duration_report"
"сегодня получилось около 7.75 часа сна","sleep_duration_report"
"сегодня получилось около 8 часов сна","sleep_duration_report"
"сегодня получилось около 8.25 часа сна","sleep_duration_report"
"сегодня получилось около 8 с половиной часа сна","sleep_duration_report"
"сегодня получилось около 8.75 часа сна","sleep_duration_report"
"сегодня получилось около 9 часов сна","sleep_duration_report"
"сегодня получилось около 9.25 часа сна","sleep_duration_report"
"сегодня получилось около 9 с половиной часа сна","sleep_duration_report"
"сегодня получилось около 10 часов сна","sleep_duration_report"
"вчера я спал примерно 1 с половиной часа","sleep_duration_report"
"вчера я спал примерно 2 часа","sleep_duration_report"
"вчера я спал примерно 2 с половиной часа","sleep_duration_report"
"вчера я спал примерно 3 часа","sleep_duration_report"
"вчера я спал примерно 3 с половиной часа","sleep_duration_report"
"вчера я спал примерно 4 часа","sleep_duration_report"
"вчера я спал примерно 4.25 часа","sleep_duration_report"
"вчера я спал примерно 4 с половиной часа","sleep_duration_report"
"вчера я спал примерно 4.75 часа","sleep_duration_report"
"вчера я спал примерно 5 часов","sleep_duration_report"
"вчера я спал примерно 5.25 часа","sleep_duration_report"
"вчера я спал примерно 5 с половиной часа","sleep_duration_report"
"вчера я спал примерно 5.75 часа","sleep_duration_report"
"вчера я спал примерно 6 часов","sleep_duration_report"
"вчера я спал примерно 6.25 часа","sleep_duration_report"
"вчера я спал примерно 6 с половиной часа","sleep_duration_report"
"вчера я спал примерно 6.75 часа","sleep_duration_report"
"вчера я спал примерно 7 часов","sleep_duration_report"
"вчера я спал примерно 7.25 часа","sleep_duration_report"
"вчера я спал примерно 7 с половиной часа","sleep_duration_report"
"вчера я спал примерно 7.75 часа","sleep_duration_report"
"вчера я спал примерно 8 часов","sleep_duration_report"
"вчера я спал примерно 8.25 часа","sleep_duration_report"
"вчера я спал примерно 8 с половиной часа","sleep_duration_report"
"вчера я спал примерно 8.75 часа","sleep_duration_report"
"вчера я спал примерно 9 часов","sleep_duration_report"
"вчера я спал примерно 9.25 часа","sleep_duration_report"
"вчера я спал примерно 9 с половиной часа","sleep_duration_report"
"вчера я спал примерно 10 часов","sleep_duration_report"
"мой сон длился где-то 1 с половиной часа","sleep_duration_report"
"мой сон длился где-то 2 часа","sleep_duration_report"
"мой сон длился где-то 2 с половиной часа","sleep_duration_report"
"мой сон длился где-то 3 часа","sleep_duration_report"
"мой сон длился где-то 3 с половиной часа","sleep_duration_report"
"мой сон длился где-то 4 часа","sleep_duration_report"
"мой сон длился где-то 4.25 часа","sleep_duration_report"
"мой сон длился где-то 4 с половиной часа","sleep_duration_report"
"мой сон длился где-то 4.75 часа","sleep_duration_report"
"мой сон длился где-то 5 часов","sleep_duration_report"
"мой сон длился где-то 5.25 часа","sleep_duration_report"
"мой сон длился где-то 5 с половиной часа","sleep_duration_report"
"мой сон длился где-то 5.75 часа","sleep_duration_report"
"мой сон длился где-то 6 часов","sleep_duration_report"
"мой сон длился где-то 6.25 часа","sleep_duration_report"
"мой сон длился где-то 6 с половиной часа","sleep_duration_report"
"мой сон длился где-то 6.75 часа","sleep_duration_report"
"мой сон длился где-то 7 часов","sleep_duration_report"
"мой сон длился где-то 7.25 часа","sleep_duration_report"
"мой сон длился где-то 7 с половиной часа","sleep_duration_report"
"мой сон длился где-то 7.75 часа","sleep_duration_report"
"мой сон длился где-то 8 часов","sleep_duration_report"
"мой сон длился где-то 8.25 часа","sleep_duration_report"
"мой сон длился где-то 8 с половиной часа","sleep_duration_report"
"мой сон длился где-то 8.75 часа","sleep_duration_report"
"мой сон длился где-то 9 часов","sleep_duration_report"
"мой сон длился где-то 9.25 часа","sleep_duration_report"
"мой сон длился где-то 9 с половиной часа","sleep_duration_report"
"мой сон длился где-то 10 часов","sleep_duration_report"
"за ночь вышло примерно 1 с половиной часа","sleep_duration_report"
"за ночь вышло примерно 2 часа","sleep_duration_report"
"за ночь вышло примерно 2 с половиной часа","sleep_duration_report"
"за ночь вышло примерно 3 часа","sleep_duration_report"
"за ночь вышло примерно 3 с половиной часа","sleep_duration_report"
"за ночь вышло примерно 4 часа","sleep_duration_report"
"за ночь вышло примерно 4.25 часа","sleep_duration_report"
"за ночь вышло примерно 4 с половиной часа","sleep_duration_report"
"за ночь вышло примерно 4.75 часа","sleep_duration_report"
"за ночь вышло примерно 5 часов","sleep_duration_report"
"за ночь вышло примерно 5.25 часа","sleep_duration_report"
"за ночь вышло примерно 5 с половиной часа","sleep_duration_report"
"за ночь вышло примерно 5.75 часа","sleep_duration_report"
"за ночь вышло примерно 6 часов","sleep_duration_report"
"за ночь вышло примерно 6.25 часа","sleep_duration_report"
"за ночь вышло примерно 6 с половиной часа","sleep_duration_report"
"за ночь вышло примерно 6.75 часа","sleep_duration_report"
"за ночь вышло примерно 7 часов","sleep_duration_report"
"за ночь вышло примерно 7.25 часа","sleep_duration_report"
"за ночь вышло примерно 7 с половиной часа","sleep_duration_report"
"за ночь вышло примерно 7.75 часа","sleep_duration_report"
"за ночь вышло примерно 8 часов","sleep_duration_report"
"за ночь вышло примерно 8.25 часа","sleep_duration_report"
"за ночь вышло примерно 8 с половиной часа","sleep_duration_report"
"за ночь вышло примерно 8.75 часа","sleep_duration_report"
"за ночь вышло примерно 9 часов","sleep_duration_report"
"за ночь вышло примерно 9.25 часа","sleep_duration_report"
"за ночь вышло примерно 9 с половиной часа","sleep_duration_report"
"за ночь вышло примерно 10 часов","sleep_duration_report"
"по ощущениям проспал около 1 с половиной часа","sleep_duration_report"
"по ощущениям проспал около 2 часа","sleep_duration_report"
"по ощущениям проспал около 2 с половиной часа","sleep_duration_report"
"по ощущениям проспал около 3 часа","sleep_duration_report"
"по ощущениям проспал около 3 с половиной часа","sleep_duration_report"
"по ощущениям проспал около 4 часа","sleep_duration_report"
"по ощущениям проспал около 4.25 часа","sleep_duration_report"
"по ощущениям проспал около 4 с половиной часа","sleep_duration_report"
"по ощущениям проспал около 4.75 часа","sleep_duration_report"
"уснул в 23:10 и проснулся в 06:40","sleep_schedule_report"
"лег в 00:20, встал в 07:15","sleep_schedule_report"
"заснул в 22:50, проснулся в 05:55","sleep_schedule_report"
"сон был с 23:40 до 07:00","sleep_schedule_report"
"уснул около 01:05, проснулся в 08:10","sleep_schedule_report"
"лег спать в 22:45 и встал в 06:00","sleep_schedule_report"
"ушел спать в 00:10, поднялся в 05:50","sleep_schedule_report"
"сон был с 00:00 до 07:10","sleep_schedule_report"
"в 00:10 уснул, в 05:40 проснулся","sleep_schedule_report"
"уснул в 01:40 и проснулся в 07:50","sleep_schedule_report"
"сон был с 23:50 до 08:10","sleep_schedule_report"
"засыпал в районе 23:00, окончательно встал в 07:00","sleep_schedule_report"
"ушел спать в 00:30, поднялся в 05:20","sleep_schedule_report"
"примерно в 23:10 отключился, а в 08:40 уже проснулся","sleep_schedule_report"
"примерно в 22:10 отключился, а в 07:20 уже проснулся","sleep_schedule_report"
"уснул в 00:20 и проснулся в 05:40","sleep_schedule_report"
"уснул в 23:20 и проснулся в 06:20","sleep_schedule_report"
"лег в 01:10, встал в 07:00","sleep_schedule_report"
"ушел спать в 23:20, поднялся в 07:00","sleep_schedule_report"
"уснул в 23:20 и проснулся в 09:00","sleep_schedule_report"
"ушел спать в 23:20, поднялся в 06:50","sleep_schedule_report"
"уснул в 01:10 и проснулся в 08:40","sleep_schedule_report"
"лег в 22:00, встал в 06:30","sleep_schedule_report"
"лег в 00:30, встал в 09:00","sleep_schedule_report"
"засыпал в районе 00:00, окончательно встал в 06:40","sleep_schedule_report"
"примерно в 00:30 отключился, а в 06:00 уже проснулся","sleep_schedule_report"
"засыпал в районе 22:50, окончательно встал в 05:20","sleep_schedule_report"
"в 01:40 уснул, в 06:00 проснулся","sleep_schedule_report"
"засыпал в районе 23:50, окончательно встал в 08:30","sleep_schedule_report"
"лег в 00:40, встал в 06:20","sleep_schedule_report"
"примерно в 22:50 отключился, а в 06:30 уже проснулся","sleep_schedule_report"
"примерно в 22:20 отключился, а в 08:40 уже проснулся","sleep_schedule_report"
"уснул в 00:30 и проснулся в 08:10","sleep_schedule_report"
"ушел спать в 22:50, поднялся в 07:30","sleep_schedule_report"
"лег в 22:20, встал в 06:40","sleep_schedule_report"
"лег в 23:00, встал в 05:50","sleep_schedule_report"
"примерно в 00:30 отключился, а в 09:00 уже проснулся","sleep_schedule_report"
"засыпал в районе 22:50, окончательно встал в 06:30","sleep_schedule_report"
"заснул около 00:10, проснулся в 07:40","sleep_schedule_report"
"сон был с 00:50 до 08:50","sleep_schedule_report"
"лег в 23:30, встал в 06:50","sleep_schedule_report"
"в 01:00 уснул, в 06:40 проснулся","sleep_schedule_report"
"ушел спать в 23:20, поднялся в 06:40","sleep_schedule_report"
"сон был с 00:20 до 06:30","sleep_schedule_report"
"заснул около 23:10, проснулся в 06:30","sleep_schedule_report"
"заснул около 23:30, проснулся в 08:20","sleep_schedule_report"
"сон был с 23:40 до 05:40","sleep_schedule_report"
"примерно в 23:20 отключился, а в 06:30 уже проснулся","sleep_schedule_report"
"сон был с 01:20 до 05:50","sleep_schedule_report"
"засыпал в районе 22:10, окончательно встал в 05:50","sleep_schedule_report"
"уснул в 00:30 и проснулся в 06:30","sleep_schedule_report"
"засыпал в районе 23:50, окончательно встал в 05:30","sleep_schedule_report"
"в 23:10 уснул, в 05:50 проснулся","sleep_schedule_report"
"уснул в 23:00 и проснулся в 08:30","sleep_schedule_report"
"сон был с 22:20 до 07:10","sleep_schedule_report"
"заснул около 00:20, проснулся в 08:30","sleep_schedule_report"
"в 01:30 уснул, в 05:20 проснулся","sleep_schedule_report"
"лег в 01:20, встал в 08:30","sleep_schedule_report"
"ушел спать в 23:00, поднялся в 05:30","sleep_schedule_report"
"ушел спать в 23:40, поднялся в 06:00","sleep_schedule_report"
"уснул в 23:00 и проснулся в 06:40","sleep_schedule_report"
"сон был с 22:00 до 07:00","sleep_schedule_report"
"примерно в 01:30 отключился, а в 07:10 уже проснулся","sleep_schedule_report"
"заснул около 01:10, проснулся в 06:50","sleep_schedule_report"
"лег в 23:00, встал в 05:30","sleep_schedule_report"
"засыпал в районе 00:50, окончательно встал в 07:50","sleep_schedule_report"
"лег в 00:10, встал в 05:50","sleep_schedule_report"
"примерно в 01:30 отключился, а в 08:10 уже проснулся","sleep_schedule_report"
"заснул около 01:20, проснулся в 08:10","sleep_schedule_report"
"лег в 01:20, встал в 06:10","sleep_schedule_report"
"примерно в 01:40 отключился, а в 06:40 уже проснулся","sleep_schedule_report"
"примерно в 23:30 отключился, а в 08:50 уже проснулся","sleep_schedule_report"
"в 00:10 уснул, в 05:30 проснулся","sleep_schedule_report"
"в 01:00 уснул, в 07:10 проснулся","sleep_schedule_report"
"примерно в 00:10 отключился, а в 05:20 уже проснулся","sleep_schedule_report"
"ушел спать в 01:20, поднялся в 06:20","sleep_schedule_report"
"примерно в 00:00 отключился, а в 06:20 уже проснулся","sleep_schedule_report"
"уснул в 00:10 и проснулся в 06:10","sleep_schedule_report"
"примерно в 22:30 отключился, а в 05:40 уже проснулся","sleep_schedule_report"
"примерно в 01:00 отключился, а в 07:10 уже проснулся","sleep_schedule_report"
"засыпал в районе 22:50, окончательно встал в 06:00","sleep_schedule_report"
"уснул в 22:10 и проснулся в 08:10","sleep_schedule_report"
"заснул около 01:20, проснулся в 07:20","sleep_schedule_report"
"лег в 01:00, встал в 08:30","sleep_schedule_report"
"ушел спать в 00:40, поднялся в 06:10","sleep_schedule_report"
"заснул около 23:50, проснулся в 06:50","sleep_schedule_report"
"заснул около 00:40, проснулся в 06:10","sleep_schedule_report"
"лег в 22:30, встал в 07:20","sleep_schedule_report"
"засыпал в районе 23:00, окончательно встал в 06:50","sleep_schedule_report"
"заснул около 22:10, проснулся в 07:50","sleep_schedule_report"
"ушел спать в 22:10, поднялся в 08:30","sleep_schedule_report"
"примерно в 22:20 отключился, а в 09:00 уже проснулся","sleep_schedule_report"
"заснул около 01:20, проснулся в 06:30","sleep_schedule_report"
"примерно в 01:10 отключился, а в 06:20 уже проснулся","sleep_schedule_report"
"засыпал в районе 22:50, окончательно встал в 08:20","sleep_schedule_report"
"сон был с 22:10 до 07:20","sleep_schedule_report"
"заснул около 00:00, проснулся в 07:10","sleep_schedule_report"
"лег в 22:40, встал в 06:30","sleep_schedule_report"
"сон был с 22:10 до 08:10","sleep_schedule_report"
"уснул в 01:30 и проснулся в 07:00","sleep_schedule_report"
"лег в 00:00, встал в 08:30","sleep_schedule_report"
"засыпал в районе 00:50, окончательно встал в 08:40","sleep_schedule_report"
"в 01:20 уснул, в 07:30 проснулся","sleep_schedule_report"
"в 01:00 уснул, в 06:30 проснулся","sleep_schedule_report"
"примерно в 00:00 отключился, а в 08:50 уже проснулся","sleep_schedule_report"
"ушел спать в 00:20, поднялся в 08:00","sleep_schedule_report"
"уснул в 01:10 и проснулся в 07:50","sleep_schedule_report"
"засыпал в районе 23:10, окончательно встал в 07:40","sleep_schedule_report"
"засыпал в районе 22:50, окончательно встал в 07:50","sleep_schedule_report"
"заснул около 23:50, проснулся в 07:30","sleep_schedule_report"
"ушел спать в 22:20, поднялся в 07:40","sleep_schedule_report"
"уснул в 22:10 и проснулся в 08:40","sleep_schedule_report"
"заснул около 22:20, проснулся в 07:00","sleep_schedule_report"
"лег в 22:10, встал в 08:00","sleep_schedule_report"
"примерно в 01:20 отключился, а в 06:00 уже проснулся","sleep_schedule_report"
"уснул в 22:20 и проснулся в 08:30","sleep_schedule_report"
"лег в 23:00, встал в 06:00","sleep_schedule_report"
"засыпал в районе 23:30, окончательно встал в 06:10","sleep_schedule_report"
"в 22:50 уснул, в 07:00 проснулся","sleep_schedule_report"
"в 00:20 уснул, в 06:00 проснулся","sleep_schedule_report"
"в 00:40 уснул, в 07:50 проснулся","sleep_schedule_report"
"сон был с 01:00 до 06:40","sleep_schedule_report"
"сон был с 23:40 до 07:10","sleep_schedule_report"
"уснул в 23:00 и проснулся в 06:10","sleep_schedule_report"
"примерно в 22:50 отключился, а в 08:40 уже проснулся","sleep_schedule_report"
"в 01:30 уснул, в 07:00 проснулся","sleep_schedule_report"
"примерно в 22:50 отключился, а в 06:40 уже проснулся","sleep_schedule_report"
"лег в 00:40, встал в 05:30","sleep_schedule_report"
"ушел спать в 00:20, поднялся в 08:10","sleep_schedule_report"
"лег в 23:20, встал в 08:10","sleep_schedule_report"
"примерно в 23:50 отключился, а в 06:40 уже проснулся","sleep_schedule_report"
"примерно в 23:50 отключился, а в 08:20 уже проснулся","sleep_schedule_report"
"заснул около 23:50, проснулся в 07:00","sleep_schedule_report"
"привет","welcome"
"здравствуй","welcome"
"доброе утро","welcome"
"добрый вечер","welcome"
"привет, начнем","welcome"
"давай начнем","welcome"
"поехали","welcome"
"я на связи","welcome"
"готов начать","welcome"
"можно стартовать","welcome"
"доброго времени суток можно начинать","welcome"
"йо, я на месте","welcome"
"доброе утро, я на месте","welcome"
"хеллоу, я на месте","welcome"
"йо","welcome"
"доброе утро, запускаемся","welcome"
"добрый вечер, можем стартовать","welcome"
"здравствуй я готов","welcome"
"привет поехали","welcome"
"приветик! поехали","welcome"
"здравствуйте, я на месте","welcome"
"хай! приступим","welcome"
"привет, приступим","welcome"
